,IoCType,Observable,SourceIndex,Input
0,dns,msticpy.readthedocs.io,13,https://msticpy.readthedocs.io/en/latest/getting_started/QuickStart.html
1,url,https://msticpy.readthedocs.io/en/latest/getting_started/QuickStart.html,13,https://msticpy.readthedocs.io/en/latest/getting_started/QuickStart.html
